 in-phase amplitude spherical harmonic coefficient model
  3.986004415   6378137.00      0.0177  17.338
     1     0  5.8820343992849631E-09  0.0000000000000000E+00
     1     1  8.2634784978636088E-09  2.8274726808492116E-09
     2     0  1.1550392032473419E-08  0.0000000000000000E+00
     2     1 -9.9253536029003299E-09 -3.7896464290572773E-08
     2     2 -4.6955982999719485E-08  4.3875907565433028E-08
     3     0  1.4135752164123174E-08  0.0000000000000000E+00
     3     1 -1.8815283796046730E-08 -2.6929585886878936E-08
     3     2 -2.4563011798773619E-08 -2.8029476918855844E-08
     3     3  2.5662979318915733E-08 -6.1454405414697400E-09
     4     0 -3.5838427315329482E-08  0.0000000000000000E+00
     4     1 -1.1237190273947559E-08  3.0300013606680864E-08
     4     2  8.1581925565726795E-08 -3.2510179458791332E-08
     4     3  1.9757420912093116E-08 -2.8949148808541349E-08
     4     4 -4.9089025325302641E-08  7.4111113892977927E-08
     5     0 -3.1346113648028696E-09  0.0000000000000000E+00
     5     1 -7.4052602109086546E-09  7.4765315135800054E-09
     5     2 -4.7648770717057493E-08  6.3286903192707812E-08
     5     3 -4.3449128641979494E-08 -1.8399026669359018E-08
     5     4 -4.2244355356367998E-08  3.0476704107109672E-08
     5     5  7.6060053823041309E-08 -1.5340089281369243E-08
     6     0  2.1744234144200167E-08  0.0000000000000000E+00
     6     1  1.6538167667579636E-08 -2.1581053747631239E-08
     6     2 -5.6181186805142342E-08  3.1198105837777778E-08
     6     3 -3.8480500327563157E-08  1.0760309638105831E-08
     6     4  2.5543892276721355E-08  1.3425228220929351E-08
     6     5 -2.8259708096310051E-08 -6.2206086502568804E-08
     6     6 -4.6507772652167474E-08 -1.5616468215465138E-10
     7     0 -1.2280756962679275E-08  0.0000000000000000E+00
     7     1  7.7242693270864709E-09 -2.5327729206906218E-10
     7     2  3.6847090269330909E-08 -2.3279293621378520E-08
     7     3 -3.5932047869390731E-08  1.6204703811980987E-09
     7     4 -1.9907192440089936E-09  2.7545071832407275E-08
     7     5 -4.0014565855736199E-09  2.4104400074696458E-08
     7     6 -3.9430927331771770E-09  3.0456897983360183E-08
     7     7  1.8567340298938493E-08 -3.3190573907650558E-08
     8     0 -4.0404059956255443E-09  0.0000000000000000E+00
     8     1  3.8363354504365091E-08  1.5991776117564040E-09
     8     2  1.7432997197438642E-08 -1.6962244282674705E-08
     8     3  5.0842165727617828E-08  2.0926680684705853E-08
     8     4 -3.7152830173025499E-08  3.0878538170774494E-08
     8     5  1.1695795621801978E-08  1.0641131917801253E-08
     8     6  2.3637837370870893E-09  4.9174282362297419E-09
     8     7 -4.0979214790761016E-08  9.3368904454090022E-09
     8     8  3.6278713712187567E-08  5.5959822173579222E-09
     9     0 -2.7085182434552746E-08  0.0000000000000000E+00
     9     1  1.7109248740944292E-08  2.4333020120130160E-08
     9     2  1.3931308318724399E-08 -4.5185017339600719E-09
     9     3 -1.9065406398337522E-08  1.2711099155871116E-08
     9     4  2.7065786258186565E-09  3.4980465250085021E-08
     9     5 -5.7207022588875650E-09  2.2233219894679389E-08
     9     6 -4.3402182192993814E-09  1.3789980813888080E-08
     9     7  5.1086832989942023E-10  4.8071108775645815E-09
     9     8 -3.9188944156702539E-09 -2.3812619362582003E-08
     9     9 -7.6853697196621520E-10 -1.0225748670797310E-09
    10     0 -1.1555527921082221E-08  0.0000000000000000E+00
    10     1 -1.5434177131338468E-08 -3.6610991617453512E-09
    10     2 -6.1982613511529178E-09 -5.8780443517953871E-09
    10     3  9.1867866995089290E-09 -5.9796816988599738E-09
    10     4 -1.1371192578051141E-08  5.5022220965458574E-09
    10     5  1.2461600053906746E-08  1.2769583688027579E-08
    10     6  1.5279759941257214E-08  2.0908178623298119E-08
    10     7  2.6502175179974329E-08 -1.4166539200667921E-08
    10     8 -1.3538392287940060E-08 -1.7597439082919033E-08
    10     9 -3.5034686800514414E-10  2.2438683927556311E-08
    10    10 -8.6258906306087933E-09  1.2741044044351654E-09
    11     0 -5.7773309886204877E-09  0.0000000000000000E+00
    11     1 -3.3567734708165457E-09 -2.5781765705949907E-09
    11     2  1.3912727306711711E-08 -6.1379073983876318E-09
    11     3 -7.5896791680277231E-09 -6.4458759678294741E-09
    11     4 -6.5623534801545322E-09  8.3017724713619028E-09
    11     5  2.6983740860556601E-08  2.9602199695045600E-08
    11     6  3.2358886732934744E-09  1.8001129868763258E-08
    11     7  1.5690141639669440E-08  2.7061308040540432E-08
    11     8  1.3569917454198939E-08  1.7013641347598678E-08
    11     9 -2.5997737172653959E-10  8.2760057286830727E-09
    11    10 -9.2932040259254747E-09  7.7504720888072420E-09
    11    11 -2.4703076455269599E-08  1.2352706073816511E-08
    12     0  1.6407309019767508E-08  0.0000000000000000E+00
    12     1 -1.1913726137675530E-08  1.2567901673914122E-08
    12     2  2.4887806333845793E-08  9.6844430445721556E-09
    12     3  2.0133998990594056E-08  4.6648638676047952E-09
    12     4  2.4020457165167728E-10  1.6984628055825238E-08
    12     5  8.3610196854726281E-09  1.9278063290932758E-08
    12     6 -4.5760718564290476E-09  1.4605732488696775E-08
    12     7 -5.6436041327609451E-09  1.2512255277580754E-08
    12     8 -7.4552549940135498E-09 -1.0281447313782384E-08
    12     9 -1.4065835390758315E-08 -1.2645608519812898E-09
    12    10 -8.0926298235035967E-10  2.8388105689347195E-09
    12    11  3.2328041503866109E-09 -6.4797869414899269E-09
    12    12 -2.1732458679856085E-08  1.1488750328474421E-09
    13     0  3.8205835458075798E-11  0.0000000000000000E+00
    13     1 -6.6865893873085641E-09  4.7137570818818209E-09
